Scope,activity,type,fuel_type,flight_class,indirect_effects,ghg_unit,distance_unit,variable_name,value
Scope 3,Flights,"Long-haul, to/from UK",,Business class,Without RF,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.3425
Scope 3,Flights,"Long-haul, to/from UK",,First class,With RF,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.8004
Scope 3,Flights,"Long-haul, to/from UK",,First class,Without RF,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.4725
Scope 3,Flights,"International, to/from non-UK",,Average passenger,With RF,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.1758
Scope 3,Flights,"International, to/from non-UK",,Average passenger,Without RF,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.1038
Scope 3,Flights,"International, to/from non-UK",,Economy class,With RF,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.1346
Scope 3,Flights,"International, to/from non-UK",,Economy class,Without RF,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.0795
Scope 3,Flights,"International, to/from non-UK",,Premium economy class,With RF,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.2154
Scope 3,Flights,"International, to/from non-UK",,Premium economy class,Without RF,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.1272
Scope 3,Flights,"International, to/from non-UK",,Business class,With RF,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.3904
Scope 3,Flights,"International, to/from non-UK",,Business class,Without RF,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.2305
Scope 3,Flights,"International, to/from non-UK",,First class,With RF,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.5385
Scope 3,Flights,"International, to/from non-UK",,First class,Without RF,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.3179
Scope 3,Ferry,Foot passenger,,,,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.0187
Scope 3,Ferry,Car passenger,,,,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.1293
Scope 3,Ferry,Average (all passenger),,,,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.1127
Scope 3,Motorbike,Small,,,,kg CO2e,km,GHG Conversion Factor 2023,0.0832
Scope 3,Motorbike,Small,,,,kg CO2e,miles,GHG Conversion Factor 2023,0.1339
Scope 3,Motorbike,Medium,,,,kg CO2e,km,GHG Conversion Factor 2023,0.1011
Scope 3,Motorbike,Medium,,,,kg CO2e,miles,GHG Conversion Factor 2023,0.1627
Scope 3,Motorbike,Large,,,,kg CO2e,km,GHG Conversion Factor 2023,0.1325
Scope 3,Motorbike,Large,,,,kg CO2e,miles,GHG Conversion Factor 2023,0.2133
Scope 3,Motorbike,Average,,,,kg CO2e,km,GHG Conversion Factor 2023,0.1137
Scope 3,Motorbike,Average,,,,kg CO2e,miles,GHG Conversion Factor 2023,0.1829
Scope 3,Taxis,Regular taxi,,,,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.1486
Scope 3,Taxis,Regular taxi,,,,kg CO2e,km,GHG Conversion Factor 2023,0.2081
Scope 3,Taxis,Black cab,,,,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.204
Scope 3,Taxis,Black cab,,,,kg CO2e,km,GHG Conversion Factor 2023,0.306
Scope 3,Bus,Local bus (not London),,,,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.1184
Scope 3,Bus,Local London bus,,,,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.0783
Scope 3,Bus,Average local bus,,,,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.1022
Scope 3,Bus,Coach,,,,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.0272
Scope 3,Rail,National rail,,,,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.0355
Scope 3,Rail,International rail,,,,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.0045
Scope 3,Rail,Light rail and tram,,,,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.0286
Scope 3,Rail,London Underground,,,,kg CO2e,passenger.km,GHG Conversion Factor 2023,0.0278
